id,bilissel_performans_skoru
1,5.6081123
2,6.641835
3,3.1057415
4,7.1768947
5,3.6809983
6,5.3332667
7,3.145808
8,7.450826
9,3.5318935
10,3.9099615
11,8.755943
12,4.124054
13,6.7231827
14,7.1852574
15,6.0623946
16,4.4357867
17,7.3568926
18,7.8349743
19,6.996724
20,4.5692515
21,4.5281825
22,7.2994814
23,2.9539444
24,5.0871024
25,7.129825
26,6.468703
27,7.262746
28,8.356658
29,3.9426894
30,7.9866395
31,7.082446
32,6.589318
33,5.954905
34,5.668438
35,4.249634
36,5.487849
37,5.0714407
38,6.0661273
39,7.5204415
40,8.245618
41,6.751797
42,5.5470433
43,6.897492
44,5.5036316
45,8.976251
46,2.0824454
47,5.156645
48,6.733404
49,4.7397776
50,8.076961
51,7.2836733
52,3.2289648
53,6.988805
54,7.454237
55,4.4919853
56,6.200933
57,2.6512263
58,3.7478766
59,4.5054255
60,4.3768363
61,8.716067
62,8.891058
63,7.2700596
64,5.525723
65,4.6956344
66,6.154609
67,5.055297
68,5.3351774
69,7.5605593
70,3.0633373
71,4.325317
72,8.363019
73,8.930181
74,6.2433434
75,2.8123443
76,7.3721905
77,4.1677237
78,3.9457836
79,8.664495
80,6.175289
81,4.4321713
82,4.748982
83,6.34623
84,7.190997
85,5.855472
86,6.994334
87,7.765218
88,7.4580455
89,3.230113
90,8.7512045
91,4.449476
92,3.1056569
93,5.7884893
94,8.133218
95,5.605095
96,7.8760595
97,4.6814256
98,4.280125
99,5.9750385
100,8.906181
101,5.252206
102,6.0837555
103,5.4048576
104,3.8749201
105,6.246845
106,5.780262
107,8.237589
108,8.870433
109,8.136442
110,8.044012
111,4.050742
112,3.2038271
113,6.8409023
114,5.699073
115,6.918772
116,8.011974
117,7.8739557
118,7.6504025
119,8.679207
120,3.553891
121,1.5358212
122,6.5115848
123,7.2821145
124,3.949996
125,3.4993258
126,7.8214455
127,4.6460667
128,7.213365
129,4.542955
130,8.514709
131,5.911903
132,6.097531
133,4.544812
134,6.916071
135,7.3088584
136,7.2914824
137,7.457043
138,6.7883162
139,4.5624332
140,6.405853
141,7.5276904
142,4.9441156
143,3.8640718
144,4.902094
145,6.2883816
146,8.343795
147,6.1683135
148,8.336254
149,3.405848
150,6.5354786
151,7.858511
152,2.9904957
153,5.382432
154,7.924258
155,6.010063
156,8.454772
157,4.1138654
158,4.9319005
159,4.7050347
160,4.5401573
161,4.621276
162,6.4540153
163,4.8613906
164,4.328302
165,8.903135
166,5.6145897
167,8.210408
168,4.3334126
169,7.8436103
170,7.838454
171,6.629639
172,7.874365
173,3.4000022
174,5.1318984
175,8.004227
176,6.129913
177,6.4748974
178,5.928555
179,1.8604404
180,6.0996065
181,3.4868655
182,3.4485695
183,4.0442557
184,3.9686005
185,9.024874
186,5.8264284
187,4.717767
188,8.97843
189,5.988709
190,6.10906
191,4.30611
192,3.0817175
193,5.638409
194,4.004889
195,9.132947
196,8.763901
197,6.841032
198,7.4023333
199,6.640554
200,2.9394941
201,8.931816
202,6.970134
203,5.537604
204,4.6200976
205,8.686214
206,6.0899014
207,6.191178
208,3.810465
209,6.1041827
210,6.381824
211,4.773322
212,8.237574
213,2.737339
214,5.361275
215,6.520617
216,9.30265
217,8.168877
218,4.290405
219,5.700728
220,5.5010424
221,0.91870064
222,5.5736384
223,2.987695
224,7.9853625
225,5.7284718
226,8.095039
227,7.646904
228,5.328491
229,3.8404107
230,3.1019776
231,7.7601767
232,7.099057
233,3.9410677
234,1.5969195
235,6.4739594
236,5.4258976
237,6.9374
238,6.2961884
239,7.763912
240,4.085021
241,8.891847
242,6.6614175
243,4.5908165
244,4.67674
245,4.241733
246,1.6310632
247,7.3074346
248,6.378339
249,7.153204
250,8.419517
251,6.358798
252,6.8263454
253,6.9408655
254,5.4440365
255,2.439551
256,8.906073
257,4.2685976
258,5.0928345
259,6.5267253
260,6.41019
261,2.2900078
262,5.442923
263,6.2014136
264,4.8622193
265,4.5501223
266,6.317811
267,4.5308805
268,9.133213
269,7.595905
270,1.9817542
271,5.344811
272,9.275586
273,3.7033682
274,5.8123755
275,9.286615
276,5.9702992
277,9.26912
278,5.31543
279,4.255412
280,2.3737607
281,5.2014475
282,8.835479
283,6.025658
284,6.2177367
285,7.4577293
286,3.1556032
287,3.1131122
288,8.4141865
289,3.802625
290,4.5608563
291,3.0641026
292,3.927492
293,5.584625
294,8.48773
295,6.8700914
296,4.9845223
297,6.259827
298,7.336448
299,5.0868187
300,4.590188
301,8.601325
302,3.508681
303,7.7063656
304,3.7658956
305,8.851279
306,8.251359
307,6.9461164
308,5.5858536
309,5.232807
310,4.578257
311,5.853243
312,5.0544643
313,9.458742
314,7.0811377
315,5.715276
316,5.698854
317,2.3649187
318,5.083282
319,4.810099
320,3.8675687
321,5.3884597
322,5.49611
323,3.8964934
324,5.074527
325,7.409788
326,7.401492
327,6.664766
328,6.9049416
329,3.928143
330,8.866912
331,9.211296
332,6.644973
333,5.017624
334,8.562012
335,6.9242864
336,5.7661333
337,5.367477
338,7.656837
339,5.052321
340,6.7908216
341,3.9320045
342,2.1722908
343,6.88035
344,4.756255
345,5.8822265
346,6.086463
347,5.9289775
348,6.320983
349,4.52549
350,4.163187
351,6.4498544
352,4.697569
353,7.2307014
354,6.4892855
355,3.333287
356,5.5034013
357,6.2778745
358,5.4410768
359,3.2217774
360,8.163063
361,7.0347934
362,5.6407175
363,1.5097096
364,3.5868223
365,7.0065084
366,5.5778813
367,3.4816809
368,7.046228
369,6.4789667
370,3.6929667
371,8.295375
372,6.242826
373,6.6633816
374,4.002341
375,6.0478077
376,7.6870756
377,6.06477
378,8.01487
379,6.3517103
380,8.608596
381,8.936185
382,3.3510244
383,3.8285868
384,7.080152
385,7.9553537
386,6.732357
387,9.230261
388,7.5178676
389,9.572863
390,6.511503
391,5.333659
392,3.9515402
393,4.146957
394,8.732237
395,5.2655315
396,5.517247
397,5.9544687
398,0.7395365
399,8.593399
400,7.059595
401,7.7484794
402,3.4425802
403,4.63878
404,7.1567693
405,8.226055
406,4.208725
407,5.788514
408,5.941079
409,6.1589656
410,5.091245
411,4.568733
412,6.8060217
413,5.661779
414,6.9861865
415,4.6646614
416,5.0389075
417,5.1543136
418,6.011214
419,6.223834
420,3.1560628
421,4.0027647
422,6.6296372
423,4.2677727
424,2.772261
425,6.3024797
426,4.9634438
427,3.3448765
428,4.352112
429,6.048131
430,5.8469667
431,7.6514525
432,6.6057205
433,7.6419015
434,4.484801
435,4.958227
436,5.1283035
437,6.5319567
438,7.426542
439,3.72972
440,7.869878
441,7.7878227
442,2.7729008
443,6.4321556
444,5.103132
445,2.339755
446,3.886673
447,8.187442
448,2.1218917
449,8.870346
450,6.3298264
451,7.51978
452,7.297297
453,8.347377
454,5.962321
455,4.488875
456,7.855508
457,5.522916
458,5.003433
459,6.309337
460,6.8108716
461,4.114164
462,7.5133815
463,9.247765
464,5.061129
465,5.820498
466,8.0536
467,6.4485173
468,5.223348
469,5.1816783
470,6.3867607
471,6.1206093
472,6.9153194
473,8.849169
474,4.08802
475,4.4603567
476,4.8304334
477,7.521565
478,6.6409683
479,8.403041
480,4.4961004
481,6.4374866
482,8.482401
483,4.588715
484,5.9108095
485,7.564977
486,7.3649826
487,2.6392474
488,6.752584
489,6.5299783
490,5.580078
491,9.892395
492,2.9795132
493,6.346205
494,1.1511891
495,6.3243546
496,7.1682796
497,6.5654635
498,7.2127013
499,3.591112
500,6.641549
501,5.0888343
502,4.692276
503,8.562583
504,5.194542
505,3.5857313
506,5.3376927
507,7.503617
508,6.852089
509,8.389929
510,2.5450385
511,8.476785
512,6.603298
513,4.6536117
514,7.382628
515,5.1771283
516,9.0232315
517,5.145774
518,6.396917
519,4.130334
520,3.232802
521,8.202962
522,6.379395
523,1.5140072
524,9.258925
525,7.5146856
526,4.4876347
527,4.5939355
528,3.5929043
529,8.294545
530,7.5854187
531,6.434809
532,2.0742693
533,9.131108
534,9.109623
535,6.4574437
536,6.2843733
537,6.8030357
538,8.749504
539,2.7651112
540,4.5805483
541,5.7060313
542,7.169331
543,8.063477
544,6.927004
